date,price
2015.12.30,9870
2016.1.4,9490
2016.1.5,9525
2016.1.6,9400
2016.1.7,9225
2016.1.8,9370
2016.1.11,9150
2016.1.12,9100
2016.1.13,9360
2016.1.14,9160
2016.1.15,8970
2016.1.18,8955
2016.1.19,9040
2016.1.20,8620
2016.1.21,8600
2016.1.25,9070
2016.1.26,8825
2016.1.27,9075
2016.1.28,9110
2016.1.29,9140
2016.2.1,9260
2016.2.3,8925
2016.2.4,9260
2016.2.5,9300
2016.2.11,8795
2016.2.12,8655
2016.2.15,8890
2016.2.16,9145
2016.2.17,9165
2016.2.18,9325
2016.2.19,9365
2016.2.23,9400
2016.2.24,9380
2016.2.25,9405
2016.2.26,9435
2016.2.29,9395
2016.3.2,9690
2016.3.3,9750
2016.3.4,9760
2016.3.7,9795
2016.3.8,9645
2016.3.9,9725
2016.3.10,9920
2016.3.11,9950
2016.3.14,9940
2016.3.15,9925
2016.3.16,9985
2016.3.17,10070
2016.3.18,10090
2016.3.21,10080
2016.3.22,10160
2016.3.23,10145
2016.3.24,10090
2016.3.25,10075
2016.3.28,10105
2016.3.29,10185
2016.3.30,10285
2016.3.31,10190
2016.4.1,9910
2016.4.4,9950
2016.4.5,9775
2016.4.6,9880
2016.4.7,9885
2016.4.8,9855
2016.4.11,9870
2016.4.12,10010
2016.4.14,10415
2016.4.15,10410
2016.4.18,10345
2016.4.19,10370
2016.4.20,10300
2016.4.21,10470
2016.4.22,10380
2016.4.25,10340
2016.4.26,10430
2016.4.27,10415
2016.4.28,10200
2016.4.29,10115
2016.5.2,9970
2016.5.3,10030
2016.5.4,9905
2016.5.9,9880
2016.5.10,9970
2016.5.11,9935
2016.5.12,9900
2016.5.13,9725
2016.5.16,9765
2016.5.17,9765
2016.5.18,9640
2016.5.19,9595
2016.5.20,9605
2016.5.23,9660
2016.5.24,9510
2016.5.25,9785
2016.5.26,9755
2016.5.27,9840
2016.5.30,9805
2016.5.31,9925
2016.6.1,9950
2016.6.2,10000
2016.6.3,10025
2016.6.7,10295
2016.6.8,10480
2016.6.9,10455
2016.6.10,10390
2016.6.13,9995
2016.6.14,9920
2016.6.15,9890
2016.6.16,9740
2016.6.17,9785
2016.6.20,10035
2016.6.21,10035
2016.6.22,10160
2016.6.23,10155
2016.6.24,9505
2016.6.27,9570
2016.6.28,9605
2016.6.29,9825
2016.6.30,9915
2016.7.1,10130
2016.7.4,10200
2016.7.5,10165
2016.7.6,9760
2016.7.7,9975
2016.7.8,9880
2016.7.11,10180
2016.7.12,10170
2016.7.13,10305
2016.7.14,10350
2016.7.15,10440
2016.7.18,10490
2016.7.19,10445
2016.7.20,10415
2016.7.21,10435
2016.7.22,10425
2016.7.25,10440
2016.7.26,10615
2016.7.27,10615
2016.7.28,10545
2016.7.29,10550
2016.8.1,10710
2016.8.2,10550
2016.8.3,10300
2016.8.4,10330
2016.8.5,10565
2016.8.8,10700
2016.8.9,10870
2016.8.10,10805
2016.8.11,10835
2016.8.12,10900
2016.8.16,10900
2016.8.17,10870
2016.8.18,11030
2016.8.19,11070
2016.8.22,10955
2016.8.23,11070
2016.8.24,10970
2016.8.25,10975
2016.8.26,10915
2016.8.29,10905
2016.8.30,10995
2016.8.31,10920
2016.9.1,10855
2016.9.2,10905
2016.9.5,11170
2016.9.6,11250
2016.9.7,11200
2016.9.8,11205
2016.9.9,10950
2016.9.12,10400
2016.9.13,10480
2016.9.19,10685
2016.9.20,10710
2016.9.21,10845
2016.9.22,11015
2016.9.23,11010
2016.9.26,10950
2016.9.27,11105
2016.9.28,11035
2016.9.29,11195
2016.9.30,10940
2016.10.4,11070
2016.10.5,11080
2016.10.6,11225
2016.10.7,11140
2016.10.10,11195
2016.10.11,10860
2016.10.12,10860
2016.10.13,10655
2016.10.14,10760
2016.10.17,10795
2016.10.18,10950
2016.10.19,10960
2016.10.20,10985
2016.10.21,10890
2016.10.24,11045
2016.10.25,11005
2016.10.26,10740
2016.10.27,10850
2016.10.28,10840
2016.10.31,10795
2016.11.1,10800
2016.11.2,10535
2016.11.3,10580
2016.11.4,10520
2016.11.7,10710
2016.11.8,10745
2016.11.9,10295
2016.11.10,10700
2016.11.11,10495
2016.11.14,10340
2016.11.15,10255
2016.11.16,10335
2016.11.17,10310
2016.11.18,10320
2016.11.21,10255
2016.11.22,10495
2016.11.23,10565
2016.11.24,10460
2016.11.25,10470
2016.11.28,10535
2016.11.29,10535
2016.11.30,10640
2016.12.1,10650
2016.12.2,10510
2016.12.5,10480
2016.12.6,10715
2016.12.7,10775
2016.12.8,11115
2016.12.9,11145
2016.12.12,11125
